Epoch,Mean,Std,Min,Max,Validity,Uniqueness,Novelty,Diversity,Time
1,0.477,0.071,0.162,0.658,0.90124,0.93021,0.83489,0.92396,0.2
2,0.475,0.070,0.000,0.659,0.89704,0.92854,0.82684,0.92479,0.3
3,0.478,0.071,0.104,0.663,0.90004,0.93034,0.82440,0.92512,0.3
4,0.478,0.071,0.154,0.680,0.90885,0.93806,0.83224,0.92618,0.3
5,0.479,0.072,0.167,0.677,0.90224,0.93273,0.83837,0.92497,0.4
6,0.481,0.071,0.157,0.692,0.90505,0.93803,0.83129,0.92575,0.4
7,0.484,0.069,0.173,0.668,0.90825,0.93273,0.83188,0.92467,0.4
8,0.482,0.071,0.117,0.680,0.91807,0.93367,0.82893,0.92519,0.5
9,0.484,0.070,0.114,0.658,0.91446,0.92903,0.82056,0.92564,0.5
10,0.483,0.069,0.184,0.675,0.91186,0.93629,0.82238,0.92502,0.5
11,0.483,0.071,0.000,0.673,0.91587,0.94094,0.82682,0.92527,0.6
12,0.484,0.070,0.165,0.658,0.92027,0.93492,0.83003,0.92579,0.6
13,0.486,0.070,0.117,0.679,0.92468,0.93458,0.83194,0.92599,0.6
14,0.486,0.070,0.167,0.665,0.92428,0.93932,0.84102,0.92555,0.7
15,0.486,0.070,0.170,0.675,0.92909,0.94179,0.84066,0.92489,0.7
16,0.486,0.071,0.175,0.659,0.92488,0.93502,0.83484,0.92503,0.7
17,0.489,0.069,0.160,0.679,0.92869,0.93723,0.83590,0.92572,0.8
18,0.489,0.069,0.155,0.683,0.93069,0.92725,0.83821,0.92545,0.8
19,0.491,0.068,0.190,0.677,0.93429,0.93268,0.85632,0.92606,0.9
20,0.492,0.069,0.173,0.689,0.93069,0.93112,0.84420,0.92589,0.9
21,0.492,0.071,0.164,0.661,0.93369,0.93821,0.84313,0.92592,0.9
22,0.492,0.070,0.197,0.673,0.93309,0.93667,0.84598,0.92568,1.0
23,0.493,0.071,0.158,0.659,0.93650,0.92963,0.84491,0.92488,1.0
24,0.494,0.069,0.176,0.670,0.93229,0.93210,0.85016,0.92483,1.0
25,0.496,0.070,0.190,0.673,0.93830,0.92933,0.84884,0.92505,1.1
26,0.494,0.070,0.164,0.666,0.93710,0.93779,0.85662,0.92566,1.1
27,0.494,0.069,0.127,0.655,0.94571,0.93645,0.85184,0.92574,1.1
28,0.496,0.069,0.171,0.666,0.94171,0.93193,0.85437,0.92491,1.2
29,0.496,0.069,0.124,0.659,0.94191,0.92280,0.84835,0.92547,1.2
30,0.498,0.070,0.173,0.668,0.94390,0.92868,0.86354,0.92531,1.2
31,0.496,0.071,0.190,0.677,0.94712,0.93253,0.84758,0.92648,1.3
32,0.498,0.070,0.175,0.673,0.93970,0.93029,0.85701,0.92574,1.3
33,0.499,0.069,0.169,0.673,0.94992,0.92640,0.85750,0.92523,1.3
34,0.500,0.068,0.210,0.673,0.94451,0.92238,0.85261,0.92371,1.4
35,0.500,0.069,0.173,0.668,0.94511,0.92052,0.85701,0.92432,1.4
36,0.502,0.070,0.146,0.697,0.94752,0.92051,0.86243,0.92507,1.5
37,0.501,0.069,0.206,0.678,0.94912,0.91283,0.86197,0.92472,1.5
38,0.503,0.068,0.000,0.673,0.95212,0.91626,0.86452,0.92444,1.5
39,0.502,0.071,0.169,0.659,0.94912,0.90798,0.87262,0.92466,1.6
40,0.505,0.067,0.194,0.673,0.95092,0.90752,0.86049,0.92406,1.6
41,0.506,0.069,0.195,0.673,0.95292,0.90393,0.86488,0.92451,1.6
42,0.506,0.068,0.158,0.697,0.95453,0.90535,0.87923,0.92279,1.7
43,0.505,0.069,0.172,0.671,0.95733,0.90584,0.86741,0.92425,1.7
44,0.508,0.068,0.198,0.680,0.96334,0.90351,0.86720,0.92336,1.7
45,0.508,0.068,0.179,0.661,0.96154,0.90208,0.87552,0.92331,1.8
46,0.508,0.067,0.163,0.678,0.95913,0.89787,0.87485,0.92311,1.8
47,0.510,0.066,0.197,0.668,0.95933,0.88787,0.88006,0.92256,1.8
48,0.508,0.069,0.175,0.658,0.95613,0.89105,0.88361,0.92297,1.9
49,0.510,0.068,0.176,0.673,0.96094,0.88305,0.87937,0.92216,1.9
50,0.513,0.068,0.169,0.699,0.96054,0.87987,0.88599,0.92062,1.9
51,0.512,0.068,0.000,0.661,0.96534,0.88110,0.88789,0.92111,2.0
52,0.511,0.069,0.175,0.678,0.95933,0.86448,0.88647,0.92213,2.0
53,0.515,0.067,0.181,0.684,0.96294,0.87185,0.88451,0.92063,2.0
54,0.514,0.067,0.199,0.656,0.96655,0.87088,0.89315,0.91959,2.1
55,0.514,0.067,0.185,0.668,0.96254,0.85598,0.89570,0.91987,2.1
56,0.514,0.067,0.208,0.661,0.96114,0.85932,0.89765,0.92041,2.1
57,0.515,0.069,0.165,0.673,0.96134,0.85580,0.89968,0.91942,2.2
58,0.520,0.066,0.156,0.673,0.96214,0.85488,0.89820,0.92035,2.2
59,0.518,0.067,0.169,0.679,0.96695,0.84856,0.89404,0.91905,2.2
60,0.522,0.066,0.177,0.689,0.96575,0.83779,0.89998,0.91903,2.3
61,0.521,0.065,0.176,0.676,0.96655,0.81990,0.89889,0.91780,2.3
62,0.523,0.067,0.208,0.665,0.96795,0.82533,0.91725,0.91740,2.4
63,0.523,0.066,0.223,0.696,0.96695,0.82370,0.90669,0.91721,2.4
64,0.527,0.063,0.185,0.673,0.96775,0.80770,0.91107,0.91527,2.4
65,0.526,0.066,0.000,0.673,0.96655,0.81016,0.91609,0.91603,2.5
66,0.526,0.063,0.177,0.673,0.97196,0.80029,0.91939,0.91639,2.5
67,0.528,0.064,0.178,0.678,0.97256,0.78599,0.92374,0.91561,2.5
68,0.529,0.063,0.239,0.673,0.97095,0.78543,0.91332,0.91469,2.6
69,0.528,0.064,0.171,0.678,0.97336,0.78658,0.92386,0.91561,2.6
70,0.531,0.063,0.218,0.668,0.97516,0.76726,0.92396,0.91446,2.6
71,0.531,0.064,0.219,0.675,0.97536,0.76012,0.92894,0.91410,2.7
72,0.532,0.062,0.237,0.664,0.97576,0.74974,0.92470,0.91308,2.7
73,0.534,0.063,0.199,0.673,0.97636,0.74661,0.93267,0.91217,2.7
74,0.535,0.061,0.210,0.663,0.97897,0.73460,0.92813,0.91282,2.7
75,0.536,0.062,0.214,0.695,0.97696,0.71929,0.93130,0.91159,2.8
76,0.535,0.063,0.202,0.673,0.97977,0.73380,0.93313,0.91094,2.8
77,0.539,0.062,0.231,0.661,0.97837,0.71417,0.93865,0.91018,2.8
78,0.537,0.063,0.185,0.691,0.98037,0.70413,0.93384,0.90967,2.9
79,0.538,0.062,0.206,0.665,0.98157,0.71061,0.93854,0.91053,2.9
80,0.541,0.062,0.210,0.696,0.98037,0.69677,0.93783,0.90961,2.9
81,0.540,0.062,0.214,0.668,0.97616,0.69670,0.93991,0.90868,3.0
82,0.542,0.062,0.210,0.668,0.98097,0.68511,0.94277,0.90722,3.0
83,0.543,0.061,0.210,0.676,0.97897,0.67710,0.94319,0.90793,3.1
84,0.545,0.061,0.210,0.689,0.98037,0.67593,0.94649,0.90557,3.1
85,0.546,0.060,0.174,0.688,0.98317,0.66422,0.94479,0.90544,3.2
86,0.548,0.059,0.256,0.661,0.97897,0.66523,0.94832,0.90499,3.2
87,0.546,0.060,0.185,0.673,0.98357,0.65906,0.94839,0.90477,3.3
88,0.548,0.059,0.213,0.687,0.98137,0.66013,0.95114,0.90538,3.3
89,0.549,0.060,0.162,0.671,0.98578,0.67121,0.95035,0.90330,3.4
90,0.552,0.058,0.228,0.696,0.98297,0.64724,0.95151,0.90269,3.4
91,0.552,0.058,0.224,0.689,0.98257,0.64750,0.95435,0.90292,3.5
92,0.552,0.058,0.256,0.687,0.98017,0.64378,0.95587,0.90066,3.6
93,0.553,0.057,0.262,0.695,0.98458,0.62645,0.95323,0.90099,3.6
94,0.553,0.058,0.241,0.673,0.98417,0.63505,0.95481,0.90131,3.7
95,0.553,0.058,0.230,0.664,0.98197,0.62485,0.95495,0.90038,3.7
96,0.554,0.057,0.282,0.695,0.98317,0.61512,0.95926,0.89991,3.8
97,0.554,0.057,0.211,0.690,0.98317,0.60269,0.94794,0.90038,3.8
98,0.554,0.058,0.297,0.673,0.98557,0.60155,0.95539,0.89962,3.9
99,0.555,0.055,0.247,0.673,0.98438,0.58649,0.95663,0.89870,3.9
100,0.555,0.055,0.311,0.687,0.97977,0.57780,0.95152,0.89858,4.0
